method,run_pair,pairwise_ARI
Seurat,run0_vs_run1,0.999578101811737
Seurat,run0_vs_run2,0.999578101811737
Seurat,run0_vs_run3,0.99592581905393
Seurat,run0_vs_run4,0.998179843694053
Seurat,run0_vs_run5,0.999578101811737
Seurat,run0_vs_run6,0.998179843694053
Seurat,run0_vs_run7,0.997735928477507
Seurat,run0_vs_run8,0.998083307686548
Seurat,run0_vs_run9,0.998179843694053
Seurat,run0_vs_run10,0.999578101811737
Seurat,run0_vs_run11,0.999578101811737
Seurat,run0_vs_run12,0.943553970306767
Seurat,run0_vs_run13,0.998179843694053
Seurat,run0_vs_run14,0.99592581905393
Seurat,run0_vs_run15,0.951923743088762
Seurat,run0_vs_run16,0.999578101811737
Seurat,run0_vs_run17,0.998671809960637
Seurat,run0_vs_run18,0.998671809960637
Seurat,run0_vs_run19,0.999578101811737
Seurat,run0_vs_run20,1
Seurat,run0_vs_run21,0.999578101811737
Seurat,run0_vs_run22,0.999578101811737
Seurat,run0_vs_run23,0.999578101811737
Seurat,run0_vs_run24,0.997810792107951
Seurat,run0_vs_run25,0.999578101811737
Seurat,run0_vs_run26,0.998601636446667
Seurat,run0_vs_run27,0.999578101811737
Seurat,run0_vs_run28,0.999578101811737
Seurat,run0_vs_run29,0.997735928477507
Seurat,run0_vs_run30,1
Seurat,run0_vs_run31,0.996238396747624
Seurat,run0_vs_run32,0.95115599200578
Seurat,run0_vs_run33,0.999578101811737
Seurat,run0_vs_run34,0.99592581905393
Seurat,run0_vs_run35,1
Seurat,run0_vs_run36,0.99592581905393
Seurat,run0_vs_run37,0.998601636446667
Seurat,run0_vs_run38,0.998179843694053
Seurat,run0_vs_run39,0.998601636446667
Seurat,run0_vs_run40,0.998671809960637
Seurat,run0_vs_run41,0.998601636446667
Seurat,run0_vs_run42,0.998601636446667
Seurat,run0_vs_run43,0.996710839435742
Seurat,run0_vs_run44,0.998179843694053
Seurat,run0_vs_run45,0.998179843694053
Seurat,run0_vs_run46,0.93428061121272
Seurat,run0_vs_run47,0.998179843694053
Seurat,run0_vs_run48,0.998179843694053
Seurat,run0_vs_run49,1
Seurat,run0_vs_run50,0.997275551916287
Seurat,run0_vs_run51,1
Seurat,run0_vs_run52,0.999578101811737
Seurat,run0_vs_run53,0.998601636446667
Seurat,run0_vs_run54,0.998179843694053
Seurat,run0_vs_run55,0.999578101811737
Seurat,run0_vs_run56,0.95061035083528
Seurat,run0_vs_run57,0.998601636446667
Seurat,run0_vs_run58,0.99592581905393
Seurat,run0_vs_run59,0.950888203840777
Seurat,run0_vs_run60,0.999578101811737
Seurat,run0_vs_run61,0.950256669033063
